name,profile_url,official_website,company_type,primary_sector,sectors,capabilities,capability_ids,markets,regions,value_chain_stages,date_published,last_materially_updated,last_reviewed,evidence_urls
Bechtel,https://btugraph.com/companies/bechtel/,https://www.bechtel.com/,Engineering contractor,"Engineering, EPC & construction","Engineering, EPC & construction | LNG & natural gas | Power, utilities & grid | Renewables, storage & low carbon",Engineering and design | Procurement | Construction management | LNG project delivery | Power and nuclear projects,engineering-design | procurement | construction-project-delivery | lng-infrastructure | power-generation,LNG | Power | Nuclear | Renewables | Critical minerals | Carbon management,Global,Midstream | Downstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.bechtel.com/approach/energy-transition/ | https://www.bechtel.com/ | https://www.investors.next-decade.com/news-releases/news-release-details/nextdecade-provides-second-quarter-2026-business-update
Worley,https://btugraph.com/companies/worley/,https://www.worley.com/,Engineering contractor,"Engineering, EPC & construction","Engineering, EPC & construction | LNG & natural gas | Refining, chemicals & fuels | Renewables, storage & low carbon",Consulting and FEED | Engineering | Procurement and construction | Asset management | Maintenance and decommissioning,engineering-design | engineering-design | construction-project-delivery | maintenance-asset-management | well-intervention-decommissioning,Oil | Natural gas | LNG | Power | Renewables | Chemicals | Mining,Global,Upstream | Midstream | Downstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.worley.com/en/about-us | https://www.worley.com/en/investor-relations/results-and-presentations/annual-report | https://international.austrade.gov.au/content/dam/austrade-assets/international/documents/reports/atic_australian_green_economy_prospectus.pdf
Fluor,https://btugraph.com/companies/fluor/,https://www.fluor.com/,Engineering contractor,"Engineering, EPC & construction","Engineering, EPC & construction | LNG & natural gas | Refining, chemicals & fuels | Power, utilities & grid | Renewables, storage & low carbon",Engineering and design | Procurement | Construction | Fabrication and modularization | Project management,engineering-design | procurement | construction-project-delivery | construction-project-delivery | project-management,Oil | Natural gas | LNG | Refined products | Power | Nuclear | Renewables,Global,Upstream | Midstream | Downstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.fluor.com/about-fluor | https://www.fluor.com/sitecollectiondocuments/fluor-corp-profile-english.pdf | https://www.lngcanada.ca/what-we-do/construction/
Enverus,https://btugraph.com/companies/enverus/,https://www.enverus.com/,Research and data provider,Data & market intelligence,"Data & market intelligence | Energy AI & analytics | Energy software | Power, utilities & grid",Energy datasets | Market intelligence | Asset analytics | Production forecasting | Power and renewables intelligence,market-data-intelligence | market-data-intelligence | analytics-monitoring | production-forecasting | market-data-intelligence,Oil | Natural gas | NGLs | Power | Renewables,North America | Global,Upstream | Midstream | Power | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.enverus.com/products/prism/ | https://www.enverus.com/solutions/develop-and-optimize/ | https://www.epa.gov/system/files/documents/2022-04/2022_ghgi_update_-_wells.pdf?v=062002
International Petroleum,https://btugraph.com/companies/international-petroleum/,https://www.international-petroleum.com/,Operator,Exploration & production,Exploration & production,Exploration and appraisal | Development planning | Drilling and well construction | Production operations,exploration-appraisal | development-planning | drilling-well-construction | production-operations,Oil | Natural gas | Heavy oil,Canada | France | Malaysia,Upstream,2026-09-04,2026-09-04,2026-09-04,https://www.international-petroleum.com/operations | https://www.international-petroleum.com/operations/canada | https://www.international-petroleum.com/operations/france | https://www.international-petroleum.com/operations/malaysia | https://static.aer.ca/prd/documents/about-us/femp-international-petroleum-executive-summary.pdf
Aker BP,https://btugraph.com/companies/aker-bp/,https://akerbp.com/,Operator,Exploration & production,Exploration & production,Exploration and appraisal | Development planning | Production operations | Remote operations | Analytics and monitoring,exploration-appraisal | development-planning | production-operations | remote-operations | analytics-monitoring,Oil | Natural gas | Offshore energy,Norwegian continental shelf,Upstream,2026-09-04,2026-09-04,2026-09-04,https://akerbp.com/en/about-us/ | https://akerbp.com/en/operations/ | https://factpages.sodir.no/en/company/pageview/all/28544099
Ulterra Drilling Technologies,https://btugraph.com/companies/ulterra-drilling-technologies/,https://ulterra.com/,Manufacturer,Field services & equipment,Field services & equipment,Equipment manufacturing | Drilling and well construction | Engineering and design | Field services,equipment-manufacturing | drilling-well-construction | engineering-design | field-services,Oil | Natural gas | Geothermal | Mining,North America | Latin America | Middle East | Asia-Pacific,Upstream,2026-09-04,2026-09-04,2026-09-04,https://ulterra.com/products/ | https://www.sec.gov/Archives/edgar/data/889900/000088990026000013/pten-20251231.htm | https://www.worldoil.com/news/2023/7/6/patterson-uti-to-acquire-global-drill-bit-company-for-370-million/
Wellsite,https://btugraph.com/companies/wellsite/,https://wellsite.com/,Technology company,Energy AI & analytics,Energy AI & analytics | Energy software,Production operations | Production and lift optimization | Industrial data management | Artificial intelligence | Workflow and collaboration,production-operations | production-optimization | industrial-data-management | artificial-intelligence | workflow-collaboration,Oil | Natural gas,North America,Upstream,2026-09-04,2026-09-04,2026-09-04,https://wellsite.com/about | https://wellsite.com/platform | https://wellsite.com/our-agents/production-engineer | https://wellsite.com/terms | https://www.cbinsights.com/company/wellsite
WFR Tools,https://btugraph.com/companies/wfr-tools/,https://wfrtools.com/,Service provider,Field services & equipment,Field services & equipment,Well intervention and decommissioning | Drilling and well construction | Completions and stimulation | Engineering and design | Field services,well-intervention-decommissioning | drilling-well-construction | completions-stimulation | engineering-design | field-services,Oil | Natural gas | Offshore energy,United States | Gulf of Mexico,Upstream,2026-09-04,2026-09-04,2026-09-04,https://wfrtools.com/about/ | https://wfrtools.com/tools-and-services/ | https://archerwell.com/archer-limited-wfr-awarded-multi-year-contract-to-supply-fishing-and-thru-tubing-fishing-for-a-major-deepwater-operator-in-the-us-goa/ | https://patents.google.com/patent/US10161209B1/en
Glex,https://btugraph.com/companies/glex/,https://glex.no/,Technology company,Energy software,Energy software | Data & market intelligence | Energy AI & analytics,Resource and property data | Reserves and economic evaluation | Development planning | Data integration | Scenario analysis,resource-property-data | reserves-economic-evaluation | development-planning | data-integration | scenario-analysis,Oil | Natural gas | Carbon storage,Global,Upstream | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://glex.no/products/glex-energy | https://www.glex.no/ | https://www.norwep.com/partners/company-4f4f4e62-2e92-4afa-97c7-470635ac73f0
GlobeAir,https://btugraph.com/companies/globeair/,https://www.globeair.com/,Service provider,Energy-adjacent services & end users,Energy-adjacent services & end users,Passenger aviation operations | Route planning and dispatch | Artificial intelligence,passenger-aviation-operations | route-planning-dispatch | artificial-intelligence,Business aviation | Jet fuel,Europe,Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.globeair.com/ | https://www.globeair.com/p/impressum | https://www.evi.gv.at/f/293097a | https://www.globeair.com/p/we-are-planet-a
Shipping International,https://btugraph.com/companies/shipping-international/,https://aajs.com/,Publisher,Data & market intelligence,Data & market intelligence,Market data and intelligence | Analytics and monitoring | Energy and economic publishing,market-data-intelligence | analytics-monitoring | energy-economic-publishing,Bunker fuels | Dry-bulk freight | Container freight | Maritime operations,Global,Midstream | Downstream | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://aajs.com/ | https://aajs.com/30-year-heritage/ | https://aajs.com/ais-live/ | https://unctad.org/system/files/official-document/posdtetibm14.en.pdf
Way.com,https://btugraph.com/companies/way-com/,https://www.way.com/,Technology company,Energy-adjacent services & end users,Energy-adjacent services & end users,Consumer mobility services | Embedded digital services | Digital marketplace operations,consumer-mobility-services | embedded-digital-services | digital-marketplace-operations,Retail fuel | EV charging | Parking | Automotive services,North America,Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.way.com/business/ | https://www.crunchbase.com/organization/way-com
Innova Drilling & Intervention,https://btugraph.com/companies/innova-drilling-intervention/,https://www.innova-drilling.com/,Technology company,Energy software,Energy software | Energy AI & analytics,Drilling and well construction | Engineering and design | Industrial data management | Data integration | Analytics and monitoring | Workflow and collaboration,drilling-well-construction | engineering-design | industrial-data-management | data-integration | analytics-monitoring | workflow-collaboration,Oil | Natural gas | Drilling services,North America | Europe | Global,Upstream,2026-09-04,2026-09-04,2026-09-04,https://www.innova-drilling.com/ | https://www.innova-drilling.com/integrations | https://find-and-update.company-information.service.gov.uk/company/SC398255
Prix Carburant,https://btugraph.com/companies/prix-carburant/,https://prix-carburant.eu/,Research and data provider,Data & market intelligence,Data & market intelligence | Energy software,Market data and intelligence | Analytics and monitoring | Data integration,market-data-intelligence | analytics-monitoring | data-integration,Diesel | Gasoline | E85 | LPG | Retail fuels,France | Europe,Downstream | Cross-system,2026-09-04,2026-09-04,2026-09-04,https://prix-carburant.eu/methodologie-prix-carburant | https://transport.data.gouv.fr/datasets/prix-des-carburants-en-france-flux-instantane-v2-amelioree | https://prix-carburant.eu/stats.php
Ecko Shipping,https://btugraph.com/companies/ecko-shipping/,https://www.eckoshipping.nl/,Service provider,"Trading, logistics & shipping","Trading, logistics & shipping",Marine shipping and chartering | Physical logistics | Scheduling and logistics,marine-shipping-chartering | physical-logistics | scheduling-logistics,Marine freight | Tanker cargoes | Crude oil logistics,Europe,Midstream | Downstream,2026-09-04,2026-09-04,2026-09-04,https://www.eckoshipping.nl/contact | https://www.compadex.com/nl/businesses/nl/ecko-ship-b-v-77272919-44983735 | https://companyinfo.nl/organisatieprofiel/goederenvervoer-over-zee-en-kustwateren-door-middel-van-vracht-en-tankvaart/ecko-ship-b-v-hoogezand-77272919-000044983735
Modular Finance,https://btugraph.com/companies/modular-finance/,https://modularfinance.com/,Technology company,Energy-adjacent services & end users,Energy-adjacent services & end users,Investor-relations technology | API and data access | Reporting and compliance | Workflow and collaboration,investor-relations-technology | api-data-access | reporting-compliance | workflow-collaboration,Capital markets | Listed energy companies,Nordic countries | United Kingdom,Cross-system,2026-09-04,2026-09-04,2026-09-04,https://modularfinance.se/ | https://modularfinance.com/about-modular-finance | https://lei.bloomberg.com/leis/view/549300B6EI1DV97I3Y83
The Insider,https://btugraph.com/companies/the-insider/,https://theins.ru/,Publisher,Data & market intelligence,Data & market intelligence,Energy and economic publishing | Investigative research and fact-checking | Market data and intelligence,energy-economic-publishing | investigative-fact-checking | market-data-intelligence,Oil and fuels | Energy policy | Economic policy,Europe | Russia | Global,Cross-system,2026-09-04,2026-09-04,2026-09-04,https://theins.ru/about | https://theins.ru/ekonomika/296376 | https://www.coe.int/en/web/portal/-/the-council-of-europe-s-democracy-innovation-award-goes-to-russian-investigative-newspaper-the-insider
Back,https://btugraph.com/companies/back-no/,https://www.back.no/,Service provider,Energy-adjacent services & end users,Energy-adjacent services & end users,Digital product and experience delivery | Interactive education and interpretation | Technical installation delivery,digital-experience-delivery | interactive-education | technical-installation-delivery,Energy education | Renewable energy | Climate and environment,Norway | Europe,Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.back.no/ | https://www.back.no/work/jakten-paa-den-gode-energi | https://www.back.no/work/i-vaeret | https://data.brreg.no/enhetsregisteret/api/enheter/993417904
iPartners Korea,https://btugraph.com/companies/ipartners-korea/,https://www.ipartners.co.kr/,Technology company,Energy-adjacent services & end users,Energy-adjacent services & end users,Digital product and experience delivery | Data integration | Artificial intelligence,digital-experience-delivery | data-integration | artificial-intelligence,Batteries | Hydrogen | Mobility | Enterprise digital services,South Korea | Asia-Pacific,Cross-system,2026-09-04,2026-09-04,2026-09-04,https://www.ipartners.co.kr/about | https://www.ipartners.co.kr/nextx | https://www.ipartners.co.kr/work/case-study/cs-lgens-sns | https://www.ipartners.co.kr/work/case-study/hmg-sns | https://www.hyundaimotorgroup.com/en/uxstudio/notice/UX000000000000000171
